Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2018,,El Dorado,,URBANIZATION,0.6042,,,,,
,2018,,Fresno,,URBANIZATION,6.6367,,,,,
,2018,,Glenn,,URBANIZATION,0.1695,,,,,
,2018,,Humboldt,,URBANIZATION,0.3112,,,,,
,2018,,Imperial,,URBANIZATION,2.0895,,,,,
,2018,,Inyo,,URBANIZATION,0.065,,,,,
,2018,,Kern,,URBANIZATION,8.3848,,,,,
,2018,,Kings,,URBANIZATION,0.9028,,,,,
,2018,,Lake,,URBANIZATION,0.5292,,,,,
,2018,,Lassen,,URBANIZATION,0.0401,,,,,
,2018,,Los Angeles,,URBANIZATION,17.2705,,,,,
,2018,,Madera,,URBANIZATION,0.8427,,,,,
,2018,,Marin,,URBANIZATION,0.7724,,,,,
,2018,,Mariposa,,URBANIZATION,0.0329,,,,,
,2018,,Mendocino,,URBANIZATION,0.2149,,,,,
,2018,,Merced,,URBANIZATION,1.9511,,,,,
,2018,,Modoc,,URBANIZATION,0.024,,,,,
,2018,,Mono,,URBANIZATION,0.012,,,,,
,2018,,Monterey,,URBANIZATION,3.4561,,,,,
,2018,,Napa,,URBANIZATION,0.9855,,,,,
,2018,,Nevada,,URBANIZATION,0.0359,,,,,
,2018,,Orange,,URBANIZATION,11.1235,,,,,
,2018,,Placer,,URBANIZATION,3.4598,,,,,
,2018,,Plumas,,URBANIZATION,0.0332,,,,,
,2018,,Riverside,,URBANIZATION,26.0819,,,,,
,2018,,Sacramento,,URBANIZATION,10.057,,,,,
,2018,,San Benito,,URBANIZATION,0.6109,,,,,
,2018,,San Bernardino,,URBANIZATION,16.7118,,,,,
,2018,,San Diego,,URBANIZATION,18.0617,,,,,
,2018,,San Francisco,,URBANIZATION,1.5247,,,,,
,2018,,San Joaquin,,URBANIZATION,6.8789,,,,,
,2018,,San Luis Obispo,,URBANIZATION,2.5336,,,,,
,2018,,San Mateo,,URBANIZATION,2.8001,,,,,
,2018,,Santa Barbara,,URBANIZATION,2.679,,,,,
,2018,,Santa Clara,,URBANIZATION,9.2148,,,,,
,2018,,Santa Cruz,,URBANIZATION,1.5417,,,,,
,2018,,Shasta,,URBANIZATION,0.5387,,,,,
,2018,,Sierra Valley,,URBANIZATION,0,,,,,
,2018,,Siskiyou,,URBANIZATION,0.0344,,,,,
,2018,,Solano,,URBANIZATION,2.1936,,,,,
,2018,,Sonoma,,URBANIZATION,2.4938,,,,,
,2018,,Stanislaus,,URBANIZATION,3.2022,,,,,
,2018,,Sutter,,URBANIZATION,0.5354,,,,,
,2018,,Tehama,,URBANIZATION,0.225,,,,,
,2018,,Trinity,,URBANIZATION,0.0114,,,,,
,2018,,Tulare,,URBANIZATION,2.0831,,,,,
,2018,,Tuolumne,,URBANIZATION,0.0461,,,,,
,2018,,Ventura,,URBANIZATION,3.1613,,,,,
,2018,,Yolo,,URBANIZATION,1.8603,,,,,
,2018,,Yuba,,URBANIZATION,0.3449,,,,,
,2019,,Alameda,,URBANIZATION,9.0295,,,,,
,2019,,Alpine,,URBANIZATION,0.0009,,,,,
,2019,,Amador,,URBANIZATION,0.0871,,,,,
,2019,,Butte,,URBANIZATION,1.111,,,,,
,2019,,Calaveras,,URBANIZATION,0.0531,,,,,
,2019,,Colusa,,URBANIZATION,0.1703,,,,,
,2019,,Contra Costa,,URBANIZATION,8.2,,,,,
,2019,,Del Norte,,URBANIZATION,0.0762,,,,,
,2019,,El Dorado,,URBANIZATION,0.7818,,,,,
,2019,,Fresno,,URBANIZATION,6.6712,,,,,
,2019,,Glenn,,URBANIZATION,0.1593,,,,,
,2019,,Humboldt,,URBANIZATION,0.3777,,,,,
,2019,,Imperial,,URBANIZATION,2.1703,,,,,
,2019,,Inyo,,URBANIZATION,0.0578,,,,,
