Timestep,StockGroup,LULC,Mean,Lower,Upper
2019,DOM,SnowIce,0,0,0
2019,DOM,Water,0,0,0
2019,DOM,Wetland,0.1,0,0.1
2019,Live,Agriculture,59.8,45.1,74
2019,Live,Barren,0,0,0
2019,Live,Developed,0.4,0.3,0.4
2019,Live,Forest,1451.3,1347.6,1494.1
2019,Live,Grassland,14.6,7.9,17.7
2019,Live,Shrubland,104.9,98.9,113.7
2019,Live,SnowIce,0,0,0
2019,Live,Water,0,0,0
2019,Live,Wetland,0.1,0.1,0.1
2019,Soil,Agriculture,380.1,375.1,386.8
2019,Soil,Barren,0,0,0
2019,Soil,Developed,14,12.6,15.2
2019,Soil,Forest,1499.6,1497.3,1502.7
2019,Soil,Grassland,341,336.2,347
2019,Soil,Shrubland,335.8,334.3,337.6
2019,Soil,SnowIce,0,0,0
2019,Soil,Water,0,0,0
2019,Soil,Wetland,2.4,1.9,3.1
2020,DOM,Agriculture,13.4,10.4,18
2020,DOM,Barren,0,0,0
2020,DOM,Developed,0,0,0
2020,DOM,Forest,419,367.7,677.3
2020,DOM,Grassland,13,9.5,17.2
2020,DOM,Shrubland,25.4,23.1,28.1
2020,DOM,SnowIce,0,0,0
2020,DOM,Water,0,0,0
2020,DOM,Wetland,0.1,0.1,0.1
2020,Live,Agriculture,60.1,42,76.1
2020,Live,Barren,0,0,0
2020,Live,Developed,0.4,0.3,0.5
2020,Live,Forest,1428.8,1133.4,1501.4
2020,Live,Grassland,13.6,7.5,21.6
2020,Live,Shrubland,106.9,94,118.4
2020,Live,SnowIce,0,0,0
2020,Live,Water,0,0,0
2020,Live,Wetland,0.1,0.1,0.1
2020,Soil,Agriculture,378.8,373.9,387.7
2020,Soil,Barren,0,0,0
2020,Soil,Developed,14.8,13.2,16.2
2020,Soil,Forest,1499.2,1495.9,1503.8
2020,Soil,Grassland,340.7,335.6,348.4
2020,Soil,Shrubland,335,333,337.2
2020,Soil,SnowIce,0,0,0
2020,Soil,Water,0,0,0
2020,Soil,Wetland,2.5,1.9,3.2
2021,DOM,Agriculture,14,9.7,18.7
2021,DOM,Barren,0,0,0
2021,DOM,Developed,0,0,0
2021,DOM,Forest,438.3,366.6,729.7
2021,DOM,Grassland,13.5,8.5,18
2021,DOM,Shrubland,26.2,22.8,29.5
2021,DOM,SnowIce,0,0,0
2021,DOM,Water,0,0,0
2021,DOM,Wetland,0.1,0.1,0.1
2021,Live,Agriculture,59,52.4,65.7
2021,Live,Barren,0,0,0
2021,Live,Developed,0.4,0.3,0.5
2021,Live,Forest,1410.4,1070.7,1504
2021,Live,Grassland,12.6,8.7,15.5
2021,Live,Shrubland,106.2,95.9,114.4
2021,Live,SnowIce,0,0,0
2021,Live,Water,0,0,0
2021,Live,Wetland,0.1,0.1,0.2
2021,Soil,Agriculture,377.9,371.8,388.9
2021,Soil,Barren,0,0,0
2021,Soil,Developed,15.7,13.9,17.2
2021,Soil,Forest,1499.1,1494.7,1505.8
2021,Soil,Grassland,340.6,333.3,350
2021,Soil,Shrubland,334.3,331.9,337.1
2021,Soil,SnowIce,0,0,0
2021,Soil,Water,0,0,0
2021,Soil,Wetland,2.6,2,3.3
2022,DOM,Agriculture,13.6,11,16.3
2022,DOM,Barren,0,0,0
2022,DOM,Developed,0,0,0
2022,DOM,Forest,449.9,365,733.3
2022,DOM,Grassland,12.8,10.9,15.4
2022,DOM,Shrubland,26.1,23.8,29.3
2022,DOM,SnowIce,0,0,0
2022,DOM,Water,0,0,0
2022,DOM,Wetland,0.1,0.1,0.1
2022,Live,Agriculture,58,45.9,71.8
2022,Live,Barren,0,0,0
2022,Live,Developed,0.4,0.4,0.5
2022,Live,Forest,1394.8,1083,1506.6
2022,Live,Grassland,12.3,6,20.9
2022,Live,Shrubland,106.3,96,114.3
2022,Live,SnowIce,0,0,0
2022,Live,Water,0,0,0
2022,Live,Wetland,0.1,0.1,0.2
2022,Soil,Agriculture,376.8,369.6,388.8
2022,Soil,Barren,0,0,0
2022,Soil,Developed,16.6,14.6,18.3
2022,Soil,Forest,1499.7,1493.4,1508.8
2022,Soil,Grassland,340.3,332.1,350.1
2022,Soil,Shrubland,333.7,330.7,337.3
2022,Soil,SnowIce,0,0,0
2022,Soil,Water,0,0,0
2022,Soil,Wetland,2.7,2.1,3.4
2023,DOM,Agriculture,13,9.9,16.2
2023,DOM,Barren,0,0,0
2023,DOM,Developed,0,0,0
2023,DOM,Forest,476.4,365.1,737.4
2023,DOM,Grassland,12.4,8.6,16.9
2023,DOM,Shrubland,26.1,23.8,28.7
2023,DOM,SnowIce,0,0,0
2023,DOM,Water,0,0,0
2023,DOM,Wetland,0.1,0.1,0.1
2023,Live,Agriculture,58,47.8,70
2023,Live,Barren,0,0,0
2023,Live,Developed,0.5,0.4,0.5
2023,Live,Forest,1362.3,1050.5,1489.8
2023,Live,Grassland,12.2,8.5,16.1
2023,Live,Shrubland,106,95.1,114.9
2023,Live,SnowIce,0,0,0
2023,Live,Water,0,0,0
2023,Live,Wetland,0.1,0.1,0.2
2023,Soil,Agriculture,375.5,367.7,387.6
2023,Soil,Barren,0,0,0
2023,Soil,Developed,17.4,15.3,19.3
2023,Soil,Forest,1500.3,1492.1,1512.1
2023,Soil,Grassland,339.7,330.8,349.4
2023,Soil,Shrubland,333.2,329.8,337.4
2023,Soil,SnowIce,0,0,0
2023,Soil,Water,0,0,0
2023,Soil,Wetland,2.8,2.1,3.5
2024,DOM,Agriculture,12.8,10.8,15.2
2024,DOM,Barren,0,0,0
2024,DOM,Developed,0,0,0
2024,DOM,Forest,499.6,367.3,735.4
2024,DOM,Grassland,12.1,10.1,14.1
2024,DOM,Shrubland,26.1,23.4,28.8
2024,DOM,SnowIce,0,0,0
2024,DOM,Water,0,0,0
2024,DOM,Wetland,0.1,0.1,0.1
2024,Live,Agriculture,63.6,50.7,79.5
2024,Live,Barren,0,0,0
2024,Live,Developed,0.5,0.4,0.6
2024,Live,Forest,1343.4,1030.6,1485.2
2024,Live,Grassland,15,9.3,21.8
