LUC,GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,High,0.001363884,2020,4689.722763235386,4678.484414476761,4698.0359873785865
BAU,CanESM2,rcp45,High,0.001363884,2021,4707.5485396911345,4697.198058650571,4714.889034932193
BAU,CanESM2,rcp45,High,0.001363884,2022,4741.750288174504,4729.990294003402,4754.609583959564
BAU,CanESM2,rcp45,High,0.001363884,2023,4740.449902952514,4727.660134331862,4755.541515204149
BAU,CanESM2,rcp45,High,0.001363884,2024,4720.856192590324,4706.424153831643,4739.148815365021
BAU,CanESM2,rcp45,High,0.001363884,2025,4760.516420783881,4743.891786190585,4781.51289389378
BAU,CanESM2,rcp45,High,0.001363884,2026,4760.382564597669,4742.616095576356,4782.1442866933285
BAU,CanESM2,rcp45,High,0.001363884,2027,4732.894776204741,4711.58591522215,4752.100447215217
BAU,CanESM2,rcp45,High,0.001363884,2028,4732.490777052919,4709.661138000311,4755.125132702915
BAU,CanESM2,rcp45,High,0.001363884,2029,4750.78567590535,4729.012141929078,4771.140068283874
BAU,CanESM2,rcp45,High,0.001363884,2030,4767.913597671369,4747.0889894828115,4788.189004165599
BAU,CanESM2,rcp45,High,0.001363884,2031,4800.923904982557,4783.154378702455,4819.778973299519
BAU,CanESM2,rcp45,High,0.001363884,2032,4755.707553909946,4738.5804632281215,4776.3799198891475
BAU,CanESM2,rcp45,High,0.001363884,2033,4737.539191278724,4720.266330113762,4758.524762795176
BAU,CanESM2,rcp45,High,0.001363884,2034,4761.422702342946,4743.183686269801,4784.43138846848
BAU,CanESM2,rcp45,High,0.001363884,2035,4717.594270380131,4696.393195032078,4739.475914301516
BAU,CanESM2,rcp45,High,0.001363884,2036,4724.650892538811,4702.071944929807,4746.120082506909
