GCM,RCP,Year,Mean,Mean5,Mean10,Variable
HadGEM2-ES,rcp45,2068,16.33137438163437,16.825337468041827,16.854005291916863,Mean Annual Temperature
HadGEM2-ES,rcp85,2068,18.584679945614113,18.29032460430902,18.50810226563915,Mean Annual Temperature
MIROC5,rcp45,2068,15.242483200206982,15.980951072479028,16.141489313297164,Mean Annual Temperature
MIROC5,rcp85,2068,16.744460445123384,16.990345510473002,17.085470177896436,Mean Annual Temperature
CanESM2-ES,rcp45,2069,17.544614000902207,16.743916683065024,16.72194567678238,Mean Annual Temperature
CanESM2-ES,rcp85,2069,17.069511169803597,17.92271399306919,18.288823062169726,Mean Annual Temperature
CNRM-CM5,rcp45,2069,16.147704384462916,16.417181450394075,16.268350053714254,Mean Annual Temperature
CNRM-CM5,rcp85,2069,17.711879066470456,17.47438086844617,17.501004619439108,Mean Annual Temperature
HadGEM2-ES,rcp45,2069,17.38708696801664,16.94114716202403,16.918231556961224,Mean Annual Temperature
HadGEM2-ES,rcp85,2069,17.878691897104375,18.463996666898513,18.545128698585337,Mean Annual Temperature
MIROC5,rcp45,2069,15.239754704420518,16.03094394423227,16.21702694958356,Mean Annual Temperature
MIROC5,rcp85,2069,16.967224502935196,17.08689113835434,17.127059031371836,Mean Annual Temperature
CanESM2-ES,rcp45,2070,16.537881277470095,16.789977838777084,16.790149676405775,Mean Annual Temperature
CanESM2-ES,rcp85,2070,17.97644897771667,18.144448069013684,18.27252847925799,Mean Annual Temperature
CNRM-CM5,rcp45,2070,16.049392744276425,16.262288022595193,16.222420450166958,Mean Annual Temperature
CNRM-CM5,rcp85,2070,17.116768267993795,17.54442747373668,17.61623288998783,Mean Annual Temperature
HadGEM2-ES,rcp45,2070,16.32828981758281,16.8312276048946,16.90745219574472,Mean Annual Temperature
HadGEM2-ES,rcp85,2070,18.238650302484096,18.37761141330767,18.58741651409862,Mean Annual Temperature
MIROC5,rcp45,2070,16.18925560386877,15.890467248303798,16.0962330949346,Mean Annual Temperature
MIROC5,rcp85,2070,17.331923808078503,17.048426187794934,17.052096684226065,Mean Annual Temperature
