GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper,Flux,Source
CanESM2,rcp85,Medium,8.18331e-4,2096,124.6496785793741,123.81811615668241,125.47651638489245,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2097,217.64622110813718,216.23632622100664,219.13865416708495,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2098,286.51738197783766,284.69943763243725,288.5278387204537,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2099,300.45997828142333,298.8256125515539,302.16304412045446,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2100,312.5627834422813,310.81342782419176,314.41680262453065,NPP,LUCAS CFE
CanESM2,rcp85,Medium,8.18331e-4,2101,311.8284930732944,310.1323669743332,313.73525693879577,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2002,136.32201915427922,136.32201915427922,136.32201915427922,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2003,156.39460908661349,156.3296094886871,156.45388956864824,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2004,166.48348420650916,166.41657154408307,166.56990123684324,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2005,199.55809265711068,199.4604403191331,199.68566986159738,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2006,170.10057061218947,169.99910866046116,170.2259441175706,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2007,109.46898698812143,109.41300171869884,109.5341216595239,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2008,140.34044920030385,140.22161752531446,140.45017648029707,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2009,134.79868616548802,134.66034361065192,134.88470759413377,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2010,213.2811507259553,213.00416630991782,213.4930439579856,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2011,147.34409013592634,147.14471574031595,147.5077413697588,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2012,159.25595075148425,159.0929554681494,159.38465027549603,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2013,65.19522095642486,65.14612151186384,65.24248784774447,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2014,146.15473728402213,146.00495316037575,146.32584804853252,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2015,116.49278994033466,116.33307347386733,116.61595163178191,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2016,109.34895201720506,109.18112581727584,109.52346437625184,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2017,105.38436648436794,105.1116891345066,105.571522003088,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2018,170.5441728758363,170.0356629257007,170.90663634902458,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2019,205.35784660798438,204.81251391763297,206.01744726098897,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2020,229.23261009234875,228.73480430133998,230.25410427283003,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2021,113.09667161243112,112.75340096047526,113.60976494100599,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2022,88.53122667003153,87.1927632295137,89.70019654084625,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2023,166.9700714899645,165.33820339619962,168.89083990964716,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2024,228.7186831262598,226.5864548049754,231.19729100617613,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2025,189.88945880948555,188.0019819484701,192.04875087063817,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2026,172.2295974638117,170.5554726004013,174.30202591134926,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2027,88.36358780054151,87.11919414349262,89.48993832424992,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2028,145.08344098260974,143.70038804168558,147.01236004542653,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2029,132.0128863988669,131.04410874032286,133.54325866743835,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2030,112.04104085778943,110.74130232933321,113.54952783043011,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2031,124.65817761384085,123.5905935911363,126.07798986011693,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2032,188.705111267874,187.3225444660834,190.71955246505897,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2033,143.88660487958452,142.4518562177457,145.4811673886137,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2034,163.4817183027822,162.3175002616963,165.16750935907328,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2035,154.0286874545172,152.92835375272335,155.26609458960456,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2036,183.4384866892884,182.2533931739448,184.87549524522143,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2037,92.76750663668231,91.97697382617409,93.5965991431296,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2038,155.88211497767765,154.9895695444223,156.88664329502933,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2039,170.96063270159715,170.04910083176185,171.86525753885783,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2040,222.98286019300508,221.69007874092773,224.03268128854097,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2041,163.10345124227888,162.01367900577054,163.75601121361217,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2042,152.389704508884,151.62001433108782,152.98251688430958,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2043,230.94384240361586,230.1619348572741,231.84857323387644,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2044,161.21899696126874,160.28257169133846,162.60620161105777,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2045,211.5087478215475,209.90351529202542,213.27285345136528,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2046,139.87751929947618,137.42292182150226,142.04125077256052,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2047,162.66138424346892,159.94691485570405,165.17113757854037,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2048,150.7170908823229,148.31222601797919,153.18289222310568,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2049,138.25989787343443,135.93194028748755,140.55220510367775,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2050,212.3376616263151,209.2881275926328,215.03639103854186,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2051,194.36250629836783,191.62503328023257,196.80303394039984,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2052,138.6876308213658,136.8260515087229,140.38555760616524,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2053,187.39736849830837,184.84364036268045,189.6154809737504,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2054,215.71407834564982,213.06802809545368,218.27685624580107,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2055,225.27599543600505,222.52413333537288,228.01062363448182,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2056,237.43881728759862,234.8932975819773,239.97251802067836,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2057,205.90316484383123,203.6977293403325,208.6423399730457,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2058,231.0226291563676,228.79825826882387,234.39877110217392,NPP,LUCAS CFE
CanESM2,rcp85,MedLow,5.45554e-4,2059,277.1940007233748,273.9927398500347,279.81238575815587,NPP,LUCAS CFE
