Timestep,Flux,Mean,Lower,Upper
2031,Harvest (Straw),7,4.8,10.3
2031,Harvest (Thinning),0.7,0.2,1.1
2031,Harvest (Urban),0.1,0,0.2
2031,Leaching,2.2,2.1,2.3
2031,LULCC,38.4,29.8,49.7
2031,Mortality,11.7,9.2,14.1
2031,Mortality (Fire),1.8,0.8,3.2
2031,Mortality (Harvest),1.6,0.6,2.6
2031,Mortality (Insects),12.1,2.5,38.7
2031,NECB,-7,-32.7,26.8
2031,NEP,31.4,0.4,70.7
2031,NPP,145.7,109.4,196.1
2031,Rh,114.3,105.7,125.6
2032,Emission (AgExpand),0.5,0.2,0.9
2032,Emission (Biomass),7.3,5.7,8.5
2032,Emission (Clearcut),0.4,0.1,0.7
2032,Emission (Fire),2.6,1,5.3
2032,Emission (Orchard Removal),2.2,0.9,4
2032,Emission (Urban),1,0.5,1.7
2032,Harvest (AgExpand),0.1,0,0.2
2032,Harvest (Clearcut),3.2,1.2,5.2
2032,Harvest (Grain),11.5,8.2,15.2
2032,Harvest (Straw),7.9,5.1,10.9
2032,Harvest (Thinning),0.7,0.2,1.1
2032,Harvest (Urban),0.1,0,0.2
2032,Leaching,2.2,2.2,2.3
2032,LULCC,39.7,30.6,51.3
2032,Mortality,11.4,8.9,14.1
2032,Mortality (Fire),1.5,0.5,3.1
2032,Mortality (Harvest),1.6,0.6,2.6
2032,Mortality (Insects),9.3,1.6,23.2
2032,NECB,13.1,-48.5,47.5
2032,NEP,52.8,-14.2,89.1
2032,NPP,164.3,101.5,201.8
2032,Rh,111.5,102,121.5
2033,Emission (AgExpand),0.5,0.2,0.9
2033,Emission (Biomass),7.3,5.8,8.5
2033,Emission (Clearcut),0.4,0.2,0.7
2033,Emission (Fire),2.7,0.9,5.1
2033,Emission (Orchard Removal),2.2,0.9,4.1
2033,Emission (Urban),1,0.4,1.7
2033,Harvest (AgExpand),0.1,0,0.2
2033,Harvest (Clearcut),3.2,1.2,5.2
2033,Harvest (Grain),10.3,7.9,14.3
2033,Harvest (Straw),6.8,4.8,10.1
2033,Harvest (Thinning),0.7,0.2,1.1
2033,Harvest (Urban),0.1,0,0.2
2033,Leaching,2.2,2.2,2.3
2033,LULCC,37.5,29.8,49.8
2033,Mortality,11.4,8.9,14
2033,Mortality (Fire),1.5,0.5,2.9
2033,Mortality (Harvest),1.6,0.6,2.6
2033,Mortality (Insects),7,1,18.8
2033,NECB,-11.4,-40.2,40.5
2033,NEP,26.1,-5.3,82.9
2033,NPP,140,98.8,195.4
2033,Rh,113.9,102.3,133.7
2034,Emission (AgExpand),0.5,0.2,0.9
2034,Emission (Biomass),7.3,5.8,8.3
2034,Emission (Clearcut),0.4,0.1,0.7
2034,Emission (Fire),3.7,1.3,7.8
2034,Emission (Orchard Removal),2.2,0.9,3.9
2034,Emission (Urban),0.9,0.4,1.9
2034,Harvest (AgExpand),0.1,0,0.2
2034,Harvest (Clearcut),3.2,1.2,5.2
2034,Harvest (Grain),9.6,8,10.9
2034,Harvest (Straw),6.2,4.9,7.2
2034,Harvest (Thinning),0.7,0.2,1.1
2034,Harvest (Urban),0.1,0,0.2
2034,Leaching,2.2,2.2,2.3
2034,LULCC,36.9,31.7,42.5
2034,Mortality,11.8,9.1,14.2
2034,Mortality (Fire),2,0.7,4
2034,Mortality (Harvest),1.6,0.6,2.6
2034,Mortality (Insects),6,0.9,15.3
2034,NECB,-19.2,-56.7,16.6
2034,NEP,17.7,-18.4,55.1
2034,NPP,133,106,166
2034,Rh,115.3,106.4,127.2
2035,Emission (AgExpand),0.5,0.2,0.9
2035,Emission (Biomass),7.2,5.8,8.2
