LUC,GCM,RCP,EcoregionID,EcoregionName,Mean,Lower,Upper
Low,MIROC5,rcp45,7,Central Valley,-65,-68.8,-60.7
Low,MIROC5,rcp45,8,SoCal Mtns.,-29.3,-32.3,-26.1
Low,MIROC5,rcp45,9,East Cascades,-52.2,-56.9,-47.6
Low,MIROC5,rcp45,13,Central B&R,-5.8,-6.7,-4.7
Low,MIROC5,rcp45,14,Mojave B&R,-25.2,-25.8,-24.7
Low,MIROC5,rcp45,78,Klamath Mtns.,-47.7,-64.2,-33.8
Low,MIROC5,rcp45,80,Northern B&R,-6.5,-6.9,-6.2
Low,MIROC5,rcp45,81,Sonoran B&R,-14.8,-15.3,-14.3
Low,MIROC5,rcp85,1,Coast Range,-38.2,-52.5,-23.3
Low,MIROC5,rcp85,4,Cascades,-4,-5.1,-3.1
Low,MIROC5,rcp85,5,Sierra Nevada,-115.5,-125.1,-107.2
Low,MIROC5,rcp85,6,Oak Woodlands,-200,-209.3,-190
Low,MIROC5,rcp85,7,Central Valley,-87.5,-91.1,-83.8
Low,MIROC5,rcp85,8,SoCal Mtns.,-38.1,-40.4,-35.8
Low,MIROC5,rcp85,9,East Cascades,-40.8,-44.5,-36.7
Low,MIROC5,rcp85,13,Central B&R,-9,-9.6,-8.5
Low,MIROC5,rcp85,14,Mojave B&R,-42.4,-43,-41.8
Low,MIROC5,rcp85,78,Klamath Mtns.,-54,-75.7,-31.7
Low,MIROC5,rcp85,80,Northern B&R,-6.2,-6.6,-5.8
Low,MIROC5,rcp85,81,Sonoran B&R,-15.5,-16,-15
Medium,CanESM2,rcp45,1,Coast Range,-37.2,-45.1,-28.3
Medium,CanESM2,rcp45,4,Cascades,-2.9,-4.1,-1.6
Medium,CanESM2,rcp45,5,Sierra Nevada,-72.6,-82.8,-61.3
Medium,CanESM2,rcp45,6,Oak Woodlands,-65.2,-73.2,-55.3
Medium,CanESM2,rcp45,7,Central Valley,-44.1,-49.6,-38.3
Medium,CanESM2,rcp45,8,SoCal Mtns.,-0.6,-3.3,2
Medium,CanESM2,rcp45,9,East Cascades,-11.2,-16.1,-5.6
Medium,CanESM2,rcp45,13,Central B&R,11.9,10.9,12.9
Medium,CanESM2,rcp45,14,Mojave B&R,-0.8,-1.5,-0.1
Medium,CanESM2,rcp45,78,Klamath Mtns.,-41.1,-53.7,-24.2
Medium,CanESM2,rcp45,80,Northern B&R,0.3,-0.2,0.9
Medium,CanESM2,rcp45,81,Sonoran B&R,-6.6,-7.3,-6
Medium,CanESM2,rcp85,1,Coast Range,-59.7,-71.6,-44.5
Medium,CanESM2,rcp85,4,Cascades,-3.3,-4.8,-2.2
Medium,CanESM2,rcp85,5,Sierra Nevada,-67.9,-81.7,-46.5
Medium,CanESM2,rcp85,6,Oak Woodlands,-21.3,-34.1,-4.9
Medium,CanESM2,rcp85,7,Central Valley,-26.3,-33.8,-18.3
Medium,CanESM2,rcp85,8,SoCal Mtns.,25.4,21.8,28.5
Medium,CanESM2,rcp85,9,East Cascades,-17,-23.2,-12.1
Medium,CanESM2,rcp85,13,Central B&R,25.7,24.7,26.9
Medium,CanESM2,rcp85,14,Mojave B&R,38.2,36.9,39.3
Medium,CanESM2,rcp85,78,Klamath Mtns.,-81.4,-104.5,-56.9
Medium,CanESM2,rcp85,80,Northern B&R,0.5,-0.1,1
Medium,CanESM2,rcp85,81,Sonoran B&R,-1.1,-2,-0.4
Medium,CNRM-CM5,rcp45,1,Coast Range,-10.3,-19,-2.6
Medium,CNRM-CM5,rcp45,4,Cascades,-2.6,-4,-1.3
Medium,CNRM-CM5,rcp45,5,Sierra Nevada,-55.6,-67.9,-43
Medium,CNRM-CM5,rcp45,6,Oak Woodlands,43.3,28.4,54.3
Medium,CNRM-CM5,rcp45,7,Central Valley,-7.7,-13.8,-1.6
Medium,CNRM-CM5,rcp45,8,SoCal Mtns.,17.3,14.1,21.9
Medium,CNRM-CM5,rcp45,9,East Cascades,-17.7,-23.2,-12
Medium,CNRM-CM5,rcp45,13,Central B&R,12.4,11.1,13.6
Medium,CNRM-CM5,rcp45,14,Mojave B&R,26.5,25.6,27.5
Medium,CNRM-CM5,rcp45,78,Klamath Mtns.,-10.8,-28.5,4.2
Medium,CNRM-CM5,rcp45,80,Northern B&R,-0.7,-1.4,-0.1
Medium,CNRM-CM5,rcp45,81,Sonoran B&R,1.1,0.1,1.8
Medium,CNRM-CM5,rcp85,1,Coast Range,-22.9,-32,-13.8
Medium,CNRM-CM5,rcp85,4,Cascades,-2.8,-4.3,-1.5
Medium,CNRM-CM5,rcp85,5,Sierra Nevada,-63.6,-74.6,-54.4
Medium,CNRM-CM5,rcp85,6,Oak Woodlands,1.3,-23.4,23.4
Medium,CNRM-CM5,rcp85,7,Central Valley,-19.2,-24.7,-12.4
Medium,CNRM-CM5,rcp85,8,SoCal Mtns.,16,12.4,19.9
Medium,CNRM-CM5,rcp85,9,East Cascades,-21.1,-25.1,-17.5
Medium,CNRM-CM5,rcp85,13,Central B&R,9.3,7.6,10.3
Medium,CNRM-CM5,rcp85,14,Mojave B&R,18.4,17.3,19.4
Medium,CNRM-CM5,rcp85,78,Klamath Mtns.,-23.8,-39.5,-5.4
Medium,CNRM-CM5,rcp85,80,Northern B&R,-2,-2.5,-1.4
Medium,CNRM-CM5,rcp85,81,Sonoran B&R,1.6,0.8,2.4
Medium,HadGEM2-ES,rcp45,1,Coast Range,-44.5,-54.4,-34.5
Medium,HadGEM2-ES,rcp45,4,Cascades,-7.2,-8.3,-5.8
Medium,HadGEM2-ES,rcp45,5,Sierra Nevada,-137,-148.3,-125.3
Medium,HadGEM2-ES,rcp45,6,Oak Woodlands,-107.3,-116.6,-97
Medium,HadGEM2-ES,rcp45,7,Central Valley,-48.4,-54.3,-43.7
Medium,HadGEM2-ES,rcp45,8,SoCal Mtns.,-15,-17.4,-12.2
Medium,HadGEM2-ES,rcp45,9,East Cascades,-69.8,-74.5,-65.2
Medium,HadGEM2-ES,rcp45,13,Central B&R,-4.8,-5.8,-3.9
Medium,HadGEM2-ES,rcp45,14,Mojave B&R,-18.4,-19,-17.9
Medium,HadGEM2-ES,rcp45,78,Klamath Mtns.,-90.9,-106.4,-69.2
Medium,HadGEM2-ES,rcp45,80,Northern B&R,-7.8,-8.4,-7.4
Medium,HadGEM2-ES,rcp45,81,Sonoran B&R,-9.9,-10.5,-9.2
Medium,HadGEM2-ES,rcp85,1,Coast Range,-64.2,-74.3,-54.8
