Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
2099,DOM,No,0.2,0.1,0.2
2099,DOM,Yes,541.2,426.9,714.7
2099,Live,No,1.9,1.1,2.9
2099,Live,Yes,1360.5,975.2,1717.4
2099,Soil,No,66,37.5,93.9
2099,Soil,Yes,2263.6,1967.7,2590.5
2100,DOM,No,0.2,0.1,0.2
2100,DOM,Yes,536,419.7,717.8
2100,Live,No,1.9,1.1,2.9
2100,Live,Yes,1368.4,980.1,1742.3
2100,Soil,No,66.4,37.6,94.9
2100,Soil,Yes,2258.6,1960.9,2587.9
2101,DOM,No,0.2,0.1,0.2
2101,DOM,Yes,532.7,418,718.2
2101,Live,No,1.9,1.1,2.9
2101,Live,Yes,1375.4,988.8,1764.6
2101,Soil,No,66.8,37.7,95.8
2101,Soil,Yes,2253.4,1954.9,2585.2
