LUC,GCM,RCP,Flow,FlowPrimary,FromStock,Mean,Lower,Upper
High,HadGEM2-ES,rcp45,Emission (litter),Emission,Litter,456317.6,456317.6,456317.6
High,HadGEM2-ES,rcp45,Emission (soil),Emission,Soil,483884.2,483884.2,483884.2
High,HadGEM2-ES,rcp45,Growth,Growth,Atmosphere,1200073.6,1200073.6,1200073.6
High,HadGEM2-ES,rcp45,Harvest,Harvest,Living Biomass,38186.3,38186.3,38186.3
High,HadGEM2-ES,rcp45,Harvest (grain),Harvest,Living Biomass,84241.1,84241.1,84241.1
High,HadGEM2-ES,rcp45,Harvest (straw),Harvest,Living Biomass,50763.4,50763.4,50763.4
High,HadGEM2-ES,rcp45,Leaching,Leaching,Soil,18427.9,18427.9,18427.9
High,HadGEM2-ES,rcp45,Litterfall,Litterfall,Living Biomass,780675.2,780675.2,780675.2
High,HadGEM2-ES,rcp45,Mortality,Mortality,Living Biomass,96454,96454,96454
High,HadGEM2-ES,rcp45,Mortality (insects high),Mortality,Living Biomass,59282.1,59282.1,59282.1
High,HadGEM2-ES,rcp45,Mortality (insects low),Mortality,Living Biomass,30046.8,30046.8,30046.8
High,HadGEM2-ES,rcp45,Mortality (insects medium),Mortality,Living Biomass,12585.9,12585.9,12585.9
High,HadGEM2-ES,rcp85,Deadfall,Deadfall,Standing Dead,166602.9,166602.9,166602.9
High,HadGEM2-ES,rcp85,Decay,Decay,Down Dead,167643.1,167643.1,167643.1
High,HadGEM2-ES,rcp85,Decomposition,Decomposition,Litter,473285,473285,473285
High,HadGEM2-ES,rcp85,Emission,Emission,Living Biomass,71720.6,71720.6,71720.6
High,HadGEM2-ES,rcp85,Emission (biomass),Emission,Living Biomass,56329.9,56329.9,56329.9
High,HadGEM2-ES,rcp85,Emission (litter),Emission,Litter,468693.9,468693.9,468693.9
High,HadGEM2-ES,rcp85,Emission (soil),Emission,Soil,503411.3,503411.3,503411.3
High,HadGEM2-ES,rcp85,Growth,Growth,Atmosphere,1199484.9,1199484.9,1199484.9
High,HadGEM2-ES,rcp85,Harvest,Harvest,Living Biomass,39270.5,39270.5,39270.5
High,HadGEM2-ES,rcp85,Harvest (grain),Harvest,Living Biomass,83520.8,83520.8,83520.8
High,HadGEM2-ES,rcp85,Harvest (straw),Harvest,Living Biomass,50150.9,50150.9,50150.9
High,HadGEM2-ES,rcp85,Leaching,Leaching,Soil,17938.2,17938.2,17938.2
High,HadGEM2-ES,rcp85,Litterfall,Litterfall,Living Biomass,776028.1,776028.1,776028.1
High,HadGEM2-ES,rcp85,Mortality,Mortality,Living Biomass,96909.2,96909.2,96909.2
High,HadGEM2-ES,rcp85,Mortality (insects high),Mortality,Living Biomass,56780.8,56780.8,56780.8
High,HadGEM2-ES,rcp85,Mortality (insects low),Mortality,Living Biomass,30226.5,30226.5,30226.5
High,HadGEM2-ES,rcp85,Mortality (insects medium),Mortality,Living Biomass,12278.6,12278.6,12278.6
High,MIROC5,rcp45,Deadfall,Deadfall,Standing Dead,152614.6,152614.6,152614.6
High,MIROC5,rcp45,Decay,Decay,Down Dead,153562,153562,153562
High,MIROC5,rcp45,Decomposition,Decomposition,Litter,466058.4,466058.4,466058.4
High,MIROC5,rcp45,Emission,Emission,Living Biomass,72651.2,72651.2,72651.2
High,MIROC5,rcp45,Emission (biomass),Emission,Living Biomass,59099.1,59099.1,59099.1
High,MIROC5,rcp45,Emission (litter),Emission,Litter,438974.2,438974.2,438974.2
High,MIROC5,rcp45,Emission (soil),Emission,Soil,472667.5,472667.5,472667.5
High,MIROC5,rcp45,Growth,Growth,Atmosphere,1156196.7,1156196.7,1156196.7
High,MIROC5,rcp45,Harvest,Harvest,Living Biomass,39548.6,39548.6,39548.6
High,MIROC5,rcp45,Harvest (grain),Harvest,Living Biomass,80621.4,80621.4,80621.4
High,MIROC5,rcp45,Harvest (straw),Harvest,Living Biomass,47752.7,47752.7,47752.7
High,MIROC5,rcp45,Leaching,Leaching,Soil,18807.3,18807.3,18807.3
High,MIROC5,rcp45,Litterfall,Litterfall,Living Biomass,761045.8,761045.8,761045.8
High,MIROC5,rcp45,Mortality,Mortality,Living Biomass,99939.7,99939.7,99939.7
High,MIROC5,rcp45,Mortality (insects high),Mortality,Living Biomass,55472.2,55472.2,55472.2
High,MIROC5,rcp45,Mortality (insects low),Mortality,Living Biomass,31798.2,31798.2,31798.2
High,MIROC5,rcp45,Mortality (insects medium),Mortality,Living Biomass,12253.2,12253.2,12253.2
High,MIROC5,rcp85,Deadfall,Deadfall,Standing Dead,164882.6,164882.6,164882.6
High,MIROC5,rcp85,Decay,Decay,Down Dead,168458.9,168458.9,168458.9
High,MIROC5,rcp85,Decomposition,Decomposition,Litter,468973.5,468973.5,468973.5
High,MIROC5,rcp85,Emission,Emission,Living Biomass,66428.1,66428.1,66428.1
High,MIROC5,rcp85,Emission (biomass),Emission,Living Biomass,53434.5,53434.5,53434.5
High,MIROC5,rcp85,Emission (litter),Emission,Litter,451009.8,451009.8,451009.8
High,MIROC5,rcp85,Emission (soil),Emission,Soil,485140.3,485140.3,485140.3
High,MIROC5,rcp85,Growth,Growth,Atmosphere,1152087,1152087,1152087
High,MIROC5,rcp85,Harvest,Harvest,Living Biomass,37026.1,37026.1,37026.1
High,MIROC5,rcp85,Harvest (grain),Harvest,Living Biomass,80389,80389,80389
High,MIROC5,rcp85,Harvest (straw),Harvest,Living Biomass,47593.1,47593.1,47593.1
High,MIROC5,rcp85,Leaching,Leaching,Soil,18655.9,18655.9,18655.9
High,MIROC5,rcp85,Litterfall,Litterfall,Living Biomass,754470.1,754470.1,754470.1
High,MIROC5,rcp85,Mortality,Mortality,Living Biomass,91301.7,91301.7,91301.7
High,MIROC5,rcp85,Mortality (insects high),Mortality,Living Biomass,67027.3,67027.3,67027.3
High,MIROC5,rcp85,Mortality (insects low),Mortality,Living Biomass,29315.5,29315.5,29315.5
High,MIROC5,rcp85,Mortality (insects medium),Mortality,Living Biomass,14417.7,14417.7,14417.7
Low,CanESM2,rcp45,Deadfall,Deadfall,Standing Dead,177015.8,177015.8,177015.8
Low,CanESM2,rcp45,Decay,Decay,Down Dead,174226.6,174226.6,174226.6
Low,CanESM2,rcp45,Decomposition,Decomposition,Litter,525349.2,525349.2,525349.2
Low,CanESM2,rcp45,Emission,Emission,Living Biomass,64646.7,64646.7,64646.7
Low,CanESM2,rcp45,Emission (biomass),Emission,Living Biomass,63630.5,63630.5,63630.5
Low,CanESM2,rcp45,Emission (litter),Emission,Litter,504916.2,504916.2,504916.2
Low,CanESM2,rcp45,Emission (soil),Emission,Soil,513823.8,513823.8,513823.8
Low,CanESM2,rcp45,Growth,Growth,Atmosphere,1309918,1309918,1309918
Low,CanESM2,rcp45,Harvest,Harvest,Living Biomass,24712.5,24712.5,24712.5
Low,CanESM2,rcp45,Harvest (grain),Harvest,Living Biomass,83180.3,83180.3,83180.3
Low,CanESM2,rcp45,Harvest (straw),Harvest,Living Biomass,51782.7,51782.7,51782.7
Low,CanESM2,rcp45,Leaching,Leaching,Soil,19156.9,19156.9,19156.9
Low,CanESM2,rcp45,Litterfall,Litterfall,Living Biomass,865635.7,865635.7,865635.7
Low,CanESM2,rcp45,Mortality,Mortality,Living Biomass,101688.8,101688.8,101688.8
Low,CanESM2,rcp45,Mortality (insects high),Mortality,Living Biomass,56966.5,56966.5,56966.5
Low,CanESM2,rcp45,Mortality (insects low),Mortality,Living Biomass,32626.8,32626.8,32626.8
